,Ref to signal ratio,Pulse type,Amplitude,Phase,Q,P,Bob's quadrature,Bob's quadrature value,alpha,T_eff,Rotated Q,Rotated P,Ultimate state,Alice bits,Linear difference
100,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2382562530058594,0.0901686154340451,0.7998483696850871,-0.22415494988352377,-0.13406036011717137,-0.22415494988352377,011000110101,0.014101303122335623
101,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1396156880482352,0.0901686154340451,0.7998483696850871,-0.13406036011717135,0.22415494988352383,-0.13406036011717135,011011101101,0.005555327931063864
102,2,ref,1.0,0.0,1.0,0.0,Q,0.7942778009330745,0.09352730306026837,0.7977644231337684,0.7942778009330745,0.07450402514544652,-,-,-
103,4,ref,1.0,0.0,1.0,0.0,P,0.0745040251454465,0.09352730306026837,0.7977644231337684,0.7942778009330745,0.07450402514544652,-,-,-
104,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2187751000466926,0.09352730306026837,0.7977644231337684,-0.22312057660405427,-0.1344612249571574,-0.22312057660405427,011000110111,-0.004345476557361672
105,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1375527576362204,0.09352730306026837,0.7977644231337684,-0.13446122495715737,0.2231205766040543,-0.13446122495715737,011011101100,0.003091532679063036
106,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2356778239824903,0.09352730306026837,0.7977644231337684,-0.22312057660405427,-0.1344612249571574,-0.22312057660405427,011000110111,0.012557247378436026
107,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1407023640055118,0.09352730306026837,0.7977644231337684,-0.13446122495715737,0.2231205766040543,-0.13446122495715737,011011101100,0.006241139048354438
108,2,ref,1.0,0.0,1.0,0.0,Q,0.7945208700896685,0.09667151023270795,0.7982479316486202,0.7945208700896685,0.0770476954441609,-,-,-
109,4,ref,1.0,0.0,1.0,0.0,P,0.0770476954441609,0.09667151023270795,0.7982479316486202,0.7945208700896685,0.0770476954441609,-,-,-
110,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2203500027949219,0.09667151023270795,0.7982479316486202,-0.22283167232789777,-0.1352440154254415,-0.22283167232789777,011000110111,-0.0024816695329758776
111,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1389070883712597,0.09667151023270795,0.7982479316486202,-0.1352440154254415,0.22283167232789786,-0.1352440154254415,011011101011,0.003663072945818191
112,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2366937529746094,0.09667151023270795,0.7982479316486202,-0.22283167232789777,-0.1352440154254415,-0.22283167232789777,011000110111,0.013862080646711628
113,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1405763797374015,0.09667151023270795,0.7982479316486202,-0.1352440154254415,0.22283167232789786,-0.1352440154254415,011011101011,0.005332364311959992
114,2,ref,1.0,0.0,1.0,0.0,Q,0.7922758610281281,0.10484332430958995,0.7966502906555658,0.7922758610281282,0.0833705321665618,-,-,-
