,Pulse type,Quadrature,Value,Bits
320,signal,Q,-0.21860000275000002,011001000000
321,signal,Q,-0.14447500185546872,011011011000
322,signal,Q,-0.2342562529726563,011000100000
323,signal,Q,-0.14619375186718747,011011010100
324,ref,Q,0.7679477702680311,111000100011
325,ref,P,0.13617953019527557,100100010110
326,signal,Q,-0.2196937527480469,011000111110
327,signal,Q,-0.14290708846417322,011011011011
328,signal,Q,-0.23366250296289065,011000100001
329,signal,Q,-0.14599370265157474,011011010101
